title,description,days_until_deadline,assignee_active_tasks,assignee_overdue_rate,assignee_avg_completion_delay,project_type,priority
Minor UI alignment fix,Minor UI alignment fix. This is a minor improvement with low business impact.,-1,2,0.2,1.3,AI Platform,LOW
Organize file structure,Organize file structure. No immediate operational risk involved.,26,0,0.11,0.1,EdTech,LOW
Improve onboarding process for Recruitment Drive,Improve onboarding process for Recruitment Drive. This task will improve operational efficiency.,10,5,0.12,0.0,Healthcare,MEDIUM
Enhance performance of Auth Service,Enhance performance of Auth Service. Important for improving overall system quality.,18,5,0.33,1.0,EdTech,MEDIUM
Minor UI alignment fix,Minor UI alignment fix. No immediate operational risk involved.,48,0,0.06,0.3,E-commerce,LOW
Enhance internal documentation,Enhance internal documentation. No immediate operational risk involved.,46,5,0.15,1.4,Fintech,LOW
Organize file structure,Organize file structure. No immediate operational risk involved.,38,1,0.09,2.0,EdTech,LOW
Organize file structure,Organize file structure. Can be addressed during routine maintenance.,32,5,0.14,0.2,SaaS,LOW
Minor UI alignment fix,Minor UI alignment fix. Can be addressed during routine maintenance.,55,3,0.11,1.2,SaaS,LOW
Upgrade billing process in Expense Audit,Upgrade billing process in Expense Audit. Important for improving overall system quality.,8,2,0.08,2.9,Fintech,MEDIUM
Payment failure reported by Enterprise Client,Payment failure reported by Enterprise Client. This task is blocking critical business operations.,3,10,0.5,8.4,Fintech,HIGH
Improve analytics reporting for Search,Improve analytics reporting for Search. This task will improve operational efficiency.,6,5,0.05,2.1,Fintech,MEDIUM
Upgrade billing process in Expense Audit,Upgrade billing process in Expense Audit. This enhancement supports ongoing optimization efforts.,18,10,0.02,1.5,SaaS,MEDIUM
Revenue-impacting defect in Login,Revenue-impacting defect in Login. Failure to resolve may result in financial or reputational damage.,21,4,0.87,5.6,Fintech,HIGH
Audit failure in Marketing,Audit failure in Marketing. This task is blocking critical business operations.,15,18,0.45,3.3,E-commerce,HIGH
Minor UI alignment fix,Minor UI alignment fix. No immediate operational risk involved.,16,3,0.11,1.2,SaaS,LOW
